cid;grupo_cid;descricao_grupo
A22.2;A00-B99;Doenças infecciosas e parasitárias
A22.3;A00-B99;Doenças infecciosas e parasitárias
A22.4;A00-B99;Doenças infecciosas e parasitárias
A22.5;A00-B99;Doenças infecciosas e parasitárias
A22.6;A00-B99;Doenças infecciosas e parasitárias
A22.7;A00-B99;Doenças infecciosas e parasitárias
A22.8;A00-B99;Doenças infecciosas e parasitárias
A22.9;A00-B99;Doenças infecciosas e parasitárias
A23;A00-B99;Doenças infecciosas e parasitárias
A23.0;A00-B99;Doenças infecciosas e parasitárias
A23.1;A00-B99;Doenças infecciosas e parasitárias
A23.2;A00-B99;Doenças infecciosas e parasitárias
A23.3;A00-B99;Doenças infecciosas e parasitárias
A23.4;A00-B99;Doenças infecciosas e parasitárias
A23.5;A00-B99;Doenças infecciosas e parasitárias
A23.6;A00-B99;Doenças infecciosas e parasitárias
A23.7;A00-B99;Doenças infecciosas e parasitárias
A23.8;A00-B99;Doenças infecciosas e parasitárias
A23.9;A00-B99;Doenças infecciosas e parasitárias
A24;A00-B99;Doenças infecciosas e parasitárias
A24.0;A00-B99;Doenças infecciosas e parasitárias
A24.1;A00-B99;Doenças infecciosas e parasitárias
A24.2;A00-B99;Doenças infecciosas e parasitárias
A24.3;A00-B99;Doenças infecciosas e parasitárias
A24.4;A00-B99;Doenças infecciosas e parasitárias
A24.5;A00-B99;Doenças infecciosas e parasitárias
A24.6;A00-B99;Doenças infecciosas e parasitárias
A24.7;A00-B99;Doenças infecciosas e parasitárias
A24.8;A00-B99;Doenças infecciosas e parasitárias
A24.9;A00-B99;Doenças infecciosas e parasitárias
A25;A00-B99;Doenças infecciosas e parasitárias
A25.0;A00-B99;Doenças infecciosas e parasitárias
A25.1;A00-B99;Doenças infecciosas e parasitárias
A25.2;A00-B99;Doenças infecciosas e parasitárias
A25.3;A00-B99;Doenças infecciosas e parasitárias
A25.4;A00-B99;Doenças infecciosas e parasitárias
A25.5;A00-B99;Doenças infecciosas e parasitárias
A25.6;A00-B99;Doenças infecciosas e parasitárias
A25.7;A00-B99;Doenças infecciosas e parasitárias
A25.8;A00-B99;Doenças infecciosas e parasitárias
A25.9;A00-B99;Doenças infecciosas e parasitárias
A26;A00-B99;Doenças infecciosas e parasitárias
A26.0;A00-B99;Doenças infecciosas e parasitárias
A26.1;A00-B99;Doenças infecciosas e parasitárias
A26.2;A00-B99;Doenças infecciosas e parasitárias
A26.3;A00-B99;Doenças infecciosas e parasitárias
A26.4;A00-B99;Doenças infecciosas e parasitárias
A26.5;A00-B99;Doenças infecciosas e parasitárias
A26.6;A00-B99;Doenças infecciosas e parasitárias
A26.7;A00-B99;Doenças infecciosas e parasitárias
A26.8;A00-B99;Doenças infecciosas e parasitárias
A26.9;A00-B99;Doenças infecciosas e parasitárias
A27;A00-B99;Doenças infecciosas e parasitárias
A27.0;A00-B99;Doenças infecciosas e parasitárias
A27.1;A00-B99;Doenças infecciosas e parasitárias
A27.2;A00-B99;Doenças infecciosas e parasitárias
A27.3;A00-B99;Doenças infecciosas e parasitárias
A27.4;A00-B99;Doenças infecciosas e parasitárias
A27.5;A00-B99;Doenças infecciosas e parasitárias
A27.6;A00-B99;Doenças infecciosas e parasitárias
A27.7;A00-B99;Doenças infecciosas e parasitárias
A27.8;A00-B99;Doenças infecciosas e parasitárias
A27.9;A00-B99;Doenças infecciosas e parasitárias
A28;A00-B99;Doenças infecciosas e parasitárias
A28.0;A00-B99;Doenças infecciosas e parasitárias
A28.1;A00-B99;Doenças infecciosas e parasitárias
A28.2;A00-B99;Doenças infecciosas e parasitárias
A28.3;A00-B99;Doenças infecciosas e parasitárias
A28.4;A00-B99;Doenças infecciosas e parasitárias
A28.5;A00-B99;Doenças infecciosas e parasitárias
A28.6;A00-B99;Doenças infecciosas e parasitárias
A28.7;A00-B99;Doenças infecciosas e parasitárias
A28.8;A00-B99;Doenças infecciosas e parasitárias
A28.9;A00-B99;Doenças infecciosas e parasitárias
A29;A00-B99;Doenças infecciosas e parasitárias
A29.0;A00-B99;Doenças infecciosas e parasitárias
A29.1;A00-B99;Doenças infecciosas e parasitárias
A29.2;A00-B99;Doenças infecciosas e parasitárias
A29.3;A00-B99;Doenças infecciosas e parasitárias
A29.4;A00-B99;Doenças infecciosas e parasitárias
A29.5;A00-B99;Doenças infecciosas e parasitárias
A29.6;A00-B99;Doenças infecciosas e parasitárias
A29.7;A00-B99;Doenças infecciosas e parasitárias
A29.8;A00-B99;Doenças infecciosas e parasitárias
A29.9;A00-B99;Doenças infecciosas e parasitárias
A30;A00-B99;Doenças infecciosas e parasitárias
A30.0;A00-B99;Doenças infecciosas e parasitárias
A30.1;A00-B99;Doenças infecciosas e parasitárias
A30.2;A00-B99;Doenças infecciosas e parasitárias
A30.3;A00-B99;Doenças infecciosas e parasitárias
A30.4;A00-B99;Doenças infecciosas e parasitárias
A30.5;A00-B99;Doenças infecciosas e parasitárias
A30.6;A00-B99;Doenças infecciosas e parasitárias
A30.7;A00-B99;Doenças infecciosas e parasitárias
A30.8;A00-B99;Doenças infecciosas e parasitárias
A30.9;A00-B99;Doenças infecciosas e parasitárias
A31;A00-B99;Doenças infecciosas e parasitárias
A31.0;A00-B99;Doenças infecciosas e parasitárias
A31.1;A00-B99;Doenças infecciosas e parasitárias
A31.2;A00-B99;Doenças infecciosas e parasitárias
A31.3;A00-B99;Doenças infecciosas e parasitárias
A31.4;A00-B99;Doenças infecciosas e parasitárias
A31.5;A00-B99;Doenças infecciosas e parasitárias
A31.6;A00-B99;Doenças infecciosas e parasitárias
A31.7;A00-B99;Doenças infecciosas e parasitárias
A31.8;A00-B99;Doenças infecciosas e parasitárias
A31.9;A00-B99;Doenças infecciosas e parasitárias
A32;A00-B99;Doenças infecciosas e parasitárias
A32.0;A00-B99;Doenças infecciosas e parasitárias
A32.1;A00-B99;Doenças infecciosas e parasitárias
A32.2;A00-B99;Doenças infecciosas e parasitárias
A32.3;A00-B99;Doenças infecciosas e parasitárias
A32.4;A00-B99;Doenças infecciosas e parasitárias
A32.5;A00-B99;Doenças infecciosas e parasitárias
A32.6;A00-B99;Doenças infecciosas e parasitárias
A32.7;A00-B99;Doenças infecciosas e parasitárias
A32.8;A00-B99;Doenças infecciosas e parasitárias
A32.9;A00-B99;Doenças infecciosas e parasitárias
A33;A00-B99;Doenças infecciosas e parasitárias
A33.0;A00-B99;Doenças infecciosas e parasitárias
A33.1;A00-B99;Doenças infecciosas e parasitárias
A33.2;A00-B99;Doenças infecciosas e parasitárias
A33.3;A00-B99;Doenças infecciosas e parasitárias
A33.4;A00-B99;Doenças infecciosas e parasitárias
A33.5;A00-B99;Doenças infecciosas e parasitárias
A33.6;A00-B99;Doenças infecciosas e parasitárias
A33.7;A00-B99;Doenças infecciosas e parasitárias
A33.8;A00-B99;Doenças infecciosas e parasitárias
A33.9;A00-B99;Doenças infecciosas e parasitárias
A34;A00-B99;Doenças infecciosas e parasitárias
A34.0;A00-B99;Doenças infecciosas e parasitárias
A34.1;A00-B99;Doenças infecciosas e parasitárias
A34.2;A00-B99;Doenças infecciosas e parasitárias
A34.3;A00-B99;Doenças infecciosas e parasitárias
A34.4;A00-B99;Doenças infecciosas e parasitárias
A34.5;A00-B99;Doenças infecciosas e parasitárias
A34.6;A00-B99;Doenças infecciosas e parasitárias
A34.7;A00-B99;Doenças infecciosas e parasitárias
A34.8;A00-B99;Doenças infecciosas e parasitárias
A34.9;A00-B99;Doenças infecciosas e parasitárias
A35;A00-B99;Doenças infecciosas e parasitárias
A35.0;A00-B99;Doenças infecciosas e parasitárias
A35.1;A00-B99;Doenças infecciosas e parasitárias
A35.2;A00-B99;Doenças infecciosas e parasitárias
A35.3;A00-B99;Doenças infecciosas e parasitárias
A35.4;A00-B99;Doenças infecciosas e parasitárias
A35.5;A00-B99;Doenças infecciosas e parasitárias
A35.6;A00-B99;Doenças infecciosas e parasitárias
A35.7;A00-B99;Doenças infecciosas e parasitárias
A35.8;A00-B99;Doenças infecciosas e parasitárias
A35.9;A00-B99;Doenças infecciosas e parasitárias
A36;A00-B99;Doenças infecciosas e parasitárias
A36.0;A00-B99;Doenças infecciosas e parasitárias
A36.1;A00-B99;Doenças infecciosas e parasitárias
A36.2;A00-B99;Doenças infecciosas e parasitárias
A36.3;A00-B99;Doenças infecciosas e parasitárias
A36.4;A00-B99;Doenças infecciosas e parasitárias
A36.5;A00-B99;Doenças infecciosas e parasitárias
A36.6;A00-B99;Doenças infecciosas e parasitárias
A36.7;A00-B99;Doenças infecciosas e parasitárias
A36.8;A00-B99;Doenças infecciosas e parasitárias
A36.9;A00-B99;Doenças infecciosas e parasitárias
A37;A00-B99;Doenças infecciosas e parasitárias
A37.0;A00-B99;Doenças infecciosas e parasitárias
A37.1;A00-B99;Doenças infecciosas e parasitárias
A37.2;A00-B99;Doenças infecciosas e parasitárias
A37.3;A00-B99;Doenças infecciosas e parasitárias
A37.4;A00-B99;Doenças infecciosas e parasitárias
A37.5;A00-B99;Doenças infecciosas e parasitárias
A37.6;A00-B99;Doenças infecciosas e parasitárias
A37.7;A00-B99;Doenças infecciosas e parasitárias
A37.8;A00-B99;Doenças infecciosas e parasitárias
A37.9;A00-B99;Doenças infecciosas e parasitárias
A38;A00-B99;Doenças infecciosas e parasitárias
A38.0;A00-B99;Doenças infecciosas e parasitárias
A38.1;A00-B99;Doenças infecciosas e parasitárias
A38.2;A00-B99;Doenças infecciosas e parasitárias
A38.3;A00-B99;Doenças infecciosas e parasitárias
A38.4;A00-B99;Doenças infecciosas e parasitárias
A38.5;A00-B99;Doenças infecciosas e parasitárias
A38.6;A00-B99;Doenças infecciosas e parasitárias
A38.7;A00-B99;Doenças infecciosas e parasitárias
A38.8;A00-B99;Doenças infecciosas e parasitárias
A38.9;A00-B99;Doenças infecciosas e parasitárias
A39;A00-B99;Doenças infecciosas e parasitárias
A39.0;A00-B99;Doenças infecciosas e parasitárias
A39.1;A00-B99;Doenças infecciosas e parasitárias
A39.2;A00-B99;Doenças infecciosas e parasitárias
A39.3;A00-B99;Doenças infecciosas e parasitárias
A39.4;A00-B99;Doenças infecciosas e parasitárias
A39.5;A00-B99;Doenças infecciosas e parasitárias
A39.6;A00-B99;Doenças infecciosas e parasitárias
A39.7;A00-B99;Doenças infecciosas e parasitárias
A39.8;A00-B99;Doenças infecciosas e parasitárias
A39.9;A00-B99;Doenças infecciosas e parasitárias
A40;A00-B99;Doenças infecciosas e parasitárias
A40.0;A00-B99;Doenças infecciosas e parasitárias
A40.1;A00-B99;Doenças infecciosas e parasitárias
A40.2;A00-B99;Doenças infecciosas e parasitárias
A40.3;A00-B99;Doenças infecciosas e parasitárias
A40.4;A00-B99;Doenças infecciosas e parasitárias
A40.5;A00-B99;Doenças infecciosas e parasitárias
A40.6;A00-B99;Doenças infecciosas e parasitárias
A40.7;A00-B99;Doenças infecciosas e parasitárias
A40.8;A00-B99;Doenças infecciosas e parasitárias
A40.9;A00-B99;Doenças infecciosas e parasitárias
A41;A00-B99;Doenças infecciosas e parasitárias
A41.0;A00-B99;Doenças infecciosas e parasitárias
A41.1;A00-B99;Doenças infecciosas e parasitárias
A41.2;A00-B99;Doenças infecciosas e parasitárias
A41.3;A00-B99;Doenças infecciosas e parasitárias
A41.4;A00-B99;Doenças infecciosas e parasitárias
A41.5;A00-B99;Doenças infecciosas e parasitárias
A41.6;A00-B99;Doenças infecciosas e parasitárias
A41.7;A00-B99;Doenças infecciosas e parasitárias
A41.8;A00-B99;Doenças infecciosas e parasitárias
A41.9;A00-B99;Doenças infecciosas e parasitárias
A42;A00-B99;Doenças infecciosas e parasitárias
A42.0;A00-B99;Doenças infecciosas e parasitárias
A42.1;A00-B99;Doenças infecciosas e parasitárias
A42.2;A00-B99;Doenças infecciosas e parasitárias
A42.3;A00-B99;Doenças infecciosas e parasitárias
A42.4;A00-B99;Doenças infecciosas e parasitárias
A42.5;A00-B99;Doenças infecciosas e parasitárias
A42.6;A00-B99;Doenças infecciosas e parasitárias
A42.7;A00-B99;Doenças infecciosas e parasitárias
A42.8;A00-B99;Doenças infecciosas e parasitárias
A42.9;A00-B99;Doenças infecciosas e parasitárias
A43;A00-B99;Doenças infecciosas e parasitárias
A43.0;A00-B99;Doenças infecciosas e parasitárias
A43.1;A00-B99;Doenças infecciosas e parasitárias
A43.2;A00-B99;Doenças infecciosas e parasitárias
A43.3;A00-B99;Doenças infecciosas e parasitárias
A43.4;A00-B99;Doenças infecciosas e parasitárias
A43.5;A00-B99;Doenças infecciosas e parasitárias
A43.6;A00-B99;Doenças infecciosas e parasitárias
A43.7;A00-B99;Doenças infecciosas e parasitárias
A43.8;A00-B99;Doenças infecciosas e parasitárias
A43.9;A00-B99;Doenças infecciosas e parasitárias
A44;A00-B99;Doenças infecciosas e parasitárias
A44.0;A00-B99;Doenças infecciosas e parasitárias
A44.1;A00-B99;Doenças infecciosas e parasitárias
A44.2;A00-B99;Doenças infecciosas e parasitárias
A44.3;A00-B99;Doenças infecciosas e parasitárias
A44.4;A00-B99;Doenças infecciosas e parasitárias
A44.5;A00-B99;Doenças infecciosas e parasitárias
A44.6;A00-B99;Doenças infecciosas e parasitárias
A44.7;A00-B99;Doenças infecciosas e parasitárias
A44.8;A00-B99;Doenças infecciosas e parasitárias
A44.9;A00-B99;Doenças infecciosas e parasitárias
A45;A00-B99;Doenças infecciosas e parasitárias
A45.0;A00-B99;Doenças infecciosas e parasitárias
A45.1;A00-B99;Doenças infecciosas e parasitárias
A45.2;A00-B99;Doenças infecciosas e parasitárias
A45.3;A00-B99;Doenças infecciosas e parasitárias
A45.4;A00-B99;Doenças infecciosas e parasitárias
A45.5;A00-B99;Doenças infecciosas e parasitárias
A45.6;A00-B99;Doenças infecciosas e parasitárias
A45.7;A00-B99;Doenças infecciosas e parasitárias
A45.8;A00-B99;Doenças infecciosas e parasitárias
A45.9;A00-B99;Doenças infecciosas e parasitárias
A46;A00-B99;Doenças infecciosas e parasitárias
A46.0;A00-B99;Doenças infecciosas e parasitárias
A46.1;A00-B99;Doenças infecciosas e parasitárias
A46.2;A00-B99;Doenças infecciosas e parasitárias
A46.3;A00-B99;Doenças infecciosas e parasitárias
A46.4;A00-B99;Doenças infecciosas e parasitárias
A46.5;A00-B99;Doenças infecciosas e parasitárias
A46.6;A00-B99;Doenças infecciosas e parasitárias
A46.7;A00-B99;Doenças infecciosas e parasitárias
A46.8;A00-B99;Doenças infecciosas e parasitárias
A46.9;A00-B99;Doenças infecciosas e parasitárias
A47;A00-B99;Doenças infecciosas e parasitárias
A47.0;A00-B99;Doenças infecciosas e parasitárias
A47.1;A00-B99;Doenças infecciosas e parasitárias
