id_funcionario;ano_mes;ativo_no_mes;uf;unidade;area;cargo;regime;turno;escala;dias_uteis_mes;base_horas_mes
FUNC0026;2025-08;1;RN;Filial Sul;Backoffice;Coordenador;CLT;Noturno;5x2;23;183
FUNC0027;2025-07;1;PE;Filial Norte;Atendimento;Especialista;CLT;Diurno;5x2;23;182
FUNC0027;2025-08;1;PE;Filial Norte;Atendimento;Especialista;CLT;Diurno;5x2;21;163
FUNC0028;2025-07;1;BA;Matriz;Operações;Analista;CLT;Diurno;5x2;21;168
FUNC0028;2025-08;1;BA;Matriz;Operações;Analista;CLT;Diurno;5x2;23;184
FUNC0029;2025-07;1;RN;Filial Leste;Backoffice;Coordenador;CLT;Noturno;5x2;23;182
FUNC0029;2025-08;1;RN;Filial Leste;Backoffice;Coordenador;CLT;Noturno;5x2;23;188
FUNC0030;2025-07;1;RN;Matriz;Operações;Técnico;CLT;Comercial;5x2;23;187
FUNC0030;2025-08;1;RN;Matriz;Operações;Técnico;CLT;Comercial;5x2;22;177
FUNC0031;2025-07;1;BA;Filial Leste;Operações;Coordenador;CLT;Noturno;5x2;22;173
FUNC0031;2025-08;1;BA;Filial Leste;Operações;Coordenador;CLT;Noturno;5x2;21;166
FUNC0032;2025-07;1;CE;Filial Sul;Comercial;Especialista;CLT;Noturno;6x1;23;165
FUNC0032;2025-08;1;CE;Filial Sul;Comercial;Especialista;CLT;Noturno;6x1;21;147
FUNC0033;2025-07;1;RN;Filial Sul;Atendimento;Assistente;CLT;Diurno;5x2;20;157
FUNC0033;2025-08;1;RN;Filial Sul;Atendimento;Assistente;CLT;Diurno;5x2;22;175
FUNC0034;2025-07;1;BA;Filial Sul;Comercial;Assistente;CLT;Comercial;12x36;21;180
FUNC0034;2025-08;1;BA;Filial Sul;Comercial;Assistente;CLT;Comercial;12x36;19;178
FUNC0035;2025-07;1;PI;Filial Sul;Backoffice;Especialista;CLT;Comercial;6x1;20;144
FUNC0035;2025-08;1;PI;Filial Sul;Backoffice;Especialista;CLT;Comercial;6x1;23;163
FUNC0036;2025-07;1;CE;Filial Oeste;Comercial;Analista;CLT;Noturno;12x36;20;178
FUNC0036;2025-08;1;CE;Filial Oeste;Comercial;Analista;CLT;Noturno;12x36;22;178
FUNC0037;2025-07;0;PI;Filial Sul;Operações;Técnico;CLT;Comercial;5x2;22;173
FUNC0037;2025-08;0;PI;Filial Sul;Operações;Técnico;CLT;Comercial;5x2;20;158
FUNC0038;2025-07;1;PI;Filial Sul;Atendimento;Coordenador;PJ;Diurno;5x2;23;184
FUNC0038;2025-08;1;PI;Filial Sul;Atendimento;Coordenador;PJ;Diurno;5x2;20;161
FUNC0039;2025-07;1;BA;Matriz;Engenharia;Coordenador;CLT;Diurno;5x2;19;153
FUNC0039;2025-08;1;BA;Matriz;Engenharia;Coordenador;CLT;Diurno;5x2;22;174
FUNC0040;2025-07;1;RN;Filial Sul;Comercial;Especialista;CLT;Diurno;6x1;20;142
FUNC0040;2025-08;1;RN;Filial Sul;Comercial;Especialista;CLT;Diurno;6x1;21;149
FUNC0041;2025-07;1;CE;Filial Sul;Comercial;Coordenador;CLT;Noturno;6x1;19;133
FUNC0041;2025-08;1;CE;Filial Sul;Comercial;Coordenador;CLT;Noturno;6x1;22;156
FUNC0042;2025-07;1;PE;Filial Leste;Operações;Especialista;CLT;Noturno;5x2;22;174
FUNC0042;2025-08;1;PE;Filial Leste;Operações;Especialista;CLT;Noturno;5x2;22;177
FUNC0043;2025-07;1;RN;Matriz;Engenharia;Especialista;CLT;Noturno;5x2;22;174
FUNC0043;2025-08;1;RN;Matriz;Engenharia;Especialista;CLT;Noturno;5x2;20;159
FUNC0044;2025-07;1;CE;Filial Oeste;Comercial;Especialista;CLT;Diurno;5x2;22;172
FUNC0044;2025-08;1;CE;Filial Oeste;Comercial;Especialista;CLT;Diurno;5x2;21;167
FUNC0045;2025-07;1;RN;Filial Oeste;Operações;Assistente;CLT;Comercial;5x2;22;173
FUNC0045;2025-08;1;RN;Filial Oeste;Operações;Assistente;CLT;Comercial;5x2;21;167
FUNC0046;2025-07;1;PI;Matriz;Comercial;Coordenador;CLT;Diurno;12x36;21;179
FUNC0046;2025-08;1;PI;Matriz;Comercial;Coordenador;CLT;Diurno;12x36;23;180
FUNC0047;2025-07;1;RN;Matriz;Operações;Assistente;CLT;Comercial;5x2;20;160
FUNC0047;2025-08;1;RN;Matriz;Operações;Assistente;CLT;Comercial;5x2;20;160
FUNC0048;2025-07;1;CE;Filial Norte;Operações;Especialista;CLT;Comercial;5x2;19;152
FUNC0048;2025-08;1;CE;Filial Norte;Operações;Especialista;CLT;Comercial;5x2;19;150
FUNC0049;2025-07;1;PE;Matriz;Atendimento;Especialista;CLT;Diurno;5x2;23;179
FUNC0049;2025-08;1;PE;Matriz;Atendimento;Especialista;CLT;Diurno;5x2;21;168
FUNC0050;2025-07;1;PB;Filial Leste;Comercial;Especialista;CLT;Diurno;5x2;22;178
FUNC0050;2025-08;1;PB;Filial Leste;Comercial;Especialista;CLT;Diurno;5x2;23;185
FUNC0051;2025-07;1;RN;Filial Oeste;Comercial;Coordenador;CLT;Noturno;5x2;21;167
FUNC0051;2025-08;1;RN;Filial Oeste;Comercial;Coordenador;CLT;Noturno;5x2;23;181
FUNC0052;2025-07;1;BA;Filial Leste;Operações;Assistente;CLT;Comercial;5x2;19;153
FUNC0052;2025-08;1;BA;Filial Leste;Operações;Assistente;CLT;Comercial;5x2;21;171
FUNC0053;2025-07;1;BA;Filial Sul;Comercial;Coordenador;CLT;Comercial;6x1;22;160
FUNC0053;2025-08;1;BA;Filial Sul;Comercial;Coordenador;CLT;Comercial;6x1;23;166
FUNC0054;2025-07;1;RN;Matriz;Backoffice;Técnico;CLT;Comercial;5x2;19;150
FUNC0054;2025-08;1;RN;Matriz;Backoffice;Técnico;CLT;Comercial;5x2;20;163
FUNC0055;2025-07;1;CE;Matriz;Backoffice;Técnico;CLT;Noturno;6x1;19;136
FUNC0055;2025-08;1;CE;Matriz;Backoffice;Técnico;CLT;Noturno;6x1;19;134
FUNC0056;2025-07;1;RN;Filial Norte;Engenharia;Técnico;PJ;Diurno;6x1;22;156
FUNC0056;2025-08;1;RN;Filial Norte;Engenharia;Técnico;PJ;Diurno;6x1;22;160
FUNC0057;2025-07;1;PI;Matriz;Backoffice;Técnico;CLT;Noturno;12x36;22;179
FUNC0057;2025-08;1;PI;Matriz;Backoffice;Técnico;CLT;Noturno;12x36;20;180
FUNC0058;2025-07;1;PI;Filial Leste;Comercial;Especialista;PJ;Diurno;5x2;21;169
FUNC0058;2025-08;1;PI;Filial Leste;Comercial;Especialista;PJ;Diurno;5x2;21;169
FUNC0059;2025-07;1;BA;Filial Sul;Operações;Assistente;CLT;Comercial;6x1;21;153
FUNC0059;2025-08;1;BA;Filial Sul;Operações;Assistente;CLT;Comercial;6x1;19;134
FUNC0060;2025-07;1;PE;Filial Leste;Operações;Analista;CLT;Noturno;6x1;19;136
FUNC0060;2025-08;1;PE;Filial Leste;Operações;Analista;CLT;Noturno;6x1;22;158
FUNC0061;2025-07;1;RN;Filial Leste;Engenharia;Analista;CLT;Noturno;12x36;20;177
FUNC0061;2025-08;1;RN;Filial Leste;Engenharia;Analista;CLT;Noturno;12x36;22;178
FUNC0062;2025-07;1;PE;Filial Norte;Comercial;Técnico;CLT;Diurno;5x2;21;169
FUNC0062;2025-08;1;PE;Filial Norte;Comercial;Técnico;CLT;Diurno;5x2;23;181
FUNC0063;2025-07;1;PB;Filial Norte;Comercial;Assistente;CLT;Noturno;12x36;21;179
FUNC0063;2025-08;1;PB;Filial Norte;Comercial;Assistente;CLT;Noturno;12x36;23;179
FUNC0064;2025-07;1;CE;Filial Leste;Engenharia;Coordenador;CLT;Comercial;6x1;23;165
FUNC0064;2025-08;1;CE;Filial Leste;Engenharia;Coordenador;CLT;Comercial;6x1;20;144
FUNC0065;2025-07;1;PB;Filial Norte;Operações;Coordenador;CLT;Comercial;6x1;19;135
FUNC0065;2025-08;1;PB;Filial Norte;Operações;Coordenador;CLT;Comercial;6x1;20;144
FUNC0066;2025-07;1;CE;Filial Sul;Backoffice;Técnico;CLT;Diurno;5x2;19;149
FUNC0066;2025-08;1;CE;Filial Sul;Backoffice;Técnico;CLT;Diurno;5x2;19;154
FUNC0067;2025-07;1;PB;Filial Sul;Atendimento;Técnico;CLT;Diurno;6x1;23;162
FUNC0067;2025-08;1;PB;Filial Sul;Atendimento;Técnico;CLT;Diurno;6x1;22;160
FUNC0068;2025-07;1;RN;Filial Oeste;Comercial;Coordenador;CLT;Noturno;5x2;23;187
FUNC0068;2025-08;1;RN;Filial Oeste;Comercial;Coordenador;CLT;Noturno;5x2;22;173
FUNC0069;2025-07;1;PE;Filial Leste;Atendimento;Analista;CLT;Noturno;5x2;23;183
FUNC0069;2025-08;1;PE;Filial Leste;Atendimento;Analista;CLT;Noturno;5x2;21;171
FUNC0070;2025-07;1;RN;Filial Norte;Operações;Analista;CLT;Noturno;5x2;19;148
FUNC0070;2025-08;1;RN;Filial Norte;Operações;Analista;CLT;Noturno;5x2;19;152
FUNC0071;2025-07;1;RN;Filial Oeste;Comercial;Especialista;CLT;Comercial;5x2;21;168
FUNC0071;2025-08;1;RN;Filial Oeste;Comercial;Especialista;CLT;Comercial;5x2;19;155
FUNC0072;2025-07;1;PE;Filial Sul;Comercial;Analista;CLT;Diurno;5x2;19;152
FUNC0072;2025-08;1;PE;Filial Sul;Comercial;Analista;CLT;Diurno;5x2;20;160
FUNC0073;2025-07;1;BA;Filial Oeste;Atendimento;Coordenador;CLT;Diurno;5x2;19;151
FUNC0073;2025-08;1;BA;Filial Oeste;Atendimento;Coordenador;CLT;Diurno;5x2;23;186
FUNC0074;2025-07;1;PI;Filial Oeste;Engenharia;Técnico;CLT;Noturno;12x36;23;184
FUNC0074;2025-08;1;PI;Filial Oeste;Engenharia;Técnico;CLT;Noturno;12x36;19;179
FUNC0075;2025-07;1;CE;Filial Norte;Operações;Coordenador;CLT;Comercial;6x1;23;163
FUNC0075;2025-08;1;CE;Filial Norte;Operações;Coordenador;CLT;Comercial;6x1;20;141
FUNC0076;2025-07;1;CE;Filial Norte;Engenharia;Coordenador;CLT;Comercial;5x2;22;176
FUNC0076;2025-08;1;CE;Filial Norte;Engenharia;Coordenador;CLT;Comercial;5x2;20;160
FUNC0077;2025-07;1;BA;Filial Sul;Operações;Especialista;CLT;Comercial;5x2;19;151
FUNC0077;2025-08;1;BA;Filial Sul;Operações;Especialista;CLT;Comercial;5x2;23;186
FUNC0078;2025-07;1;RN;Matriz;Engenharia;Analista;CLT;Noturno;6x1;20;144
FUNC0078;2025-08;1;RN;Matriz;Engenharia;Analista;CLT;Noturno;6x1;23;166
FUNC0079;2025-07;1;RN;Filial Oeste;Engenharia;Analista;CLT;Diurno;5x2;22;176
FUNC0079;2025-08;1;RN;Filial Oeste;Engenharia;Analista;CLT;Diurno;5x2;23;185
FUNC0080;2025-07;1;PB;Filial Sul;Engenharia;Coordenador;CLT;Noturno;6x1;21;150
FUNC0080;2025-08;1;PB;Filial Sul;Engenharia;Coordenador;CLT;Noturno;6x1;22;159
FUNC0081;2025-07;1;RN;Filial Sul;Backoffice;Especialista;CLT;Noturno;5x2;23;188
FUNC0081;2025-08;1;RN;Filial Sul;Backoffice;Especialista;CLT;Noturno;5x2;23;184
FUNC0082;2025-07;1;PE;Filial Sul;Atendimento;Coordenador;CLT;Noturno;5x2;23;186
FUNC0082;2025-08;1;PE;Filial Sul;Atendimento;Coordenador;CLT;Noturno;5x2;20;157
FUNC0083;2025-07;1;CE;Filial Oeste;Atendimento;Assistente;CLT;Noturno;5x2;20;159
FUNC0083;2025-08;1;CE;Filial Oeste;Atendimento;Assistente;CLT;Noturno;5x2;20;157
FUNC0084;2025-07;1;BA;Filial Sul;Atendimento;Assistente;CLT;Noturno;6x1;21;148
FUNC0084;2025-08;1;BA;Filial Sul;Atendimento;Assistente;CLT;Noturno;6x1;22;156
FUNC0085;2025-07;1;BA;Filial Leste;Operações;Analista;CLT;Diurno;5x2;21;169
FUNC0085;2025-08;1;BA;Filial Leste;Operações;Analista;CLT;Diurno;5x2;23;182
FUNC0086;2025-07;1;PI;Filial Norte;Operações;Coordenador;CLT;Comercial;6x1;19;134
FUNC0086;2025-08;1;PI;Filial Norte;Operações;Coordenador;CLT;Comercial;6x1;19;135
FUNC0087;2025-07;1;CE;Filial Norte;Operações;Analista;CLT;Noturno;5x2;20;158
FUNC0087;2025-08;1;CE;Filial Norte;Operações;Analista;CLT;Noturno;5x2;22;176
FUNC0088;2025-07;1;BA;Filial Norte;Comercial;Assistente;CLT;Diurno;5x2;23;186
FUNC0088;2025-08;1;BA;Filial Norte;Comercial;Assistente;CLT;Diurno;5x2;20;161
FUNC0089;2025-07;1;PI;Filial Leste;Backoffice;Assistente;PJ;Noturno;5x2;22;174
FUNC0089;2025-08;1;PI;Filial Leste;Backoffice;Assistente;PJ;Noturno;5x2;20;160
FUNC0090;2025-07;1;RN;Filial Oeste;Comercial;Coordenador;CLT;Diurno;5x2;20;163
FUNC0090;2025-08;1;RN;Filial Oeste;Comercial;Coordenador;CLT;Diurno;5x2;23;187
FUNC0091;2025-07;1;PI;Filial Norte;Atendimento;Especialista;CLT;Diurno;5x2;19;149
FUNC0091;2025-08;1;PI;Filial Norte;Atendimento;Especialista;CLT;Diurno;5x2;22;175
FUNC0092;2025-07;1;PE;Filial Oeste;Engenharia;Analista;CLT;Diurno;6x1;22;154
FUNC0092;2025-08;1;PE;Filial Oeste;Engenharia;Analista;CLT;Diurno;6x1;23;161
FUNC0093;2025-07;1;RN;Filial Norte;Backoffice;Coordenador;CLT;Noturno;5x2;22;176
FUNC0093;2025-08;1;RN;Filial Norte;Backoffice;Coordenador;CLT;Noturno;5x2;22;176
FUNC0094;2025-07;1;RN;Filial Oeste;Comercial;Assistente;CLT;Diurno;5x2;23;182
FUNC0094;2025-08;1;RN;Filial Oeste;Comercial;Assistente;CLT;Diurno;5x2;20;159
FUNC0095;2025-07;1;CE;Filial Oeste;Comercial;Analista;CLT;Comercial;6x1;23;165
FUNC0095;2025-08;1;CE;Filial Oeste;Comercial;Analista;CLT;Comercial;6x1;19;134
FUNC0096;2025-07;1;PB;Filial Oeste;Comercial;Técnico;CLT;Diurno;5x2;19;153
FUNC0096;2025-08;1;PB;Filial Oeste;Comercial;Técnico;CLT;Diurno;5x2;19;151
FUNC0097;2025-07;1;BA;Filial Sul;Comercial;Analista;CLT;Comercial;5x2;20;155
FUNC0097;2025-08;1;BA;Filial Sul;Comercial;Analista;CLT;Comercial;5x2;22;176
FUNC0098;2025-07;1;PB;Filial Norte;Atendimento;Especialista;CLT;Comercial;6x1;19;136
FUNC0098;2025-08;1;PB;Filial Norte;Atendimento;Especialista;CLT;Comercial;6x1;20;141
FUNC0099;2025-07;1;BA;Matriz;Comercial;Coordenador;CLT;Diurno;6x1;19;135
FUNC0099;2025-08;1;BA;Matriz;Comercial;Coordenador;CLT;Diurno;6x1;21;151
FUNC0100;2025-07;1;PE;Filial Leste;Operações;Coordenador;CLT;Comercial;5x2;22;179
FUNC0100;2025-08;1;PE;Filial Leste;Operações;Coordenador;CLT;Comercial;5x2;23;185
FUNC0101;2025-07;1;PE;Filial Sul;Comercial;Especialista;CLT;Comercial;12x36;19;180
FUNC0101;2025-08;1;PE;Filial Sul;Comercial;Especialista;CLT;Comercial;12x36;21;180
FUNC0102;2025-07;1;PI;Filial Oeste;Operações;Analista;CLT;Comercial;6x1;21;151
FUNC0102;2025-08;1;PI;Filial Oeste;Operações;Analista;CLT;Comercial;6x1;20;141
FUNC0103;2025-07;1;PI;Filial Norte;Engenharia;Analista;PJ;Noturno;5x2;22;175
FUNC0103;2025-08;1;PI;Filial Norte;Engenharia;Analista;PJ;Noturno;5x2;20;157
FUNC0104;2025-07;1;PI;Matriz;Backoffice;Assistente;CLT;Diurno;5x2;23;184
FUNC0104;2025-08;1;PI;Matriz;Backoffice;Assistente;CLT;Diurno;5x2;21;168
FUNC0105;2025-07;1;PI;Filial Leste;Comercial;Analista;PJ;Comercial;5x2;19;153
FUNC0105;2025-08;1;PI;Filial Leste;Comercial;Analista;PJ;Comercial;5x2;19;149
FUNC0106;2025-07;1;PE;Filial Oeste;Engenharia;Técnico;CLT;Comercial;6x1;22;157
FUNC0106;2025-08;1;PE;Filial Oeste;Engenharia;Técnico;CLT;Comercial;6x1;19;136
FUNC0107;2025-07;1;PB;Filial Oeste;Backoffice;Especialista;CLT;Noturno;6x1;20;143
FUNC0107;2025-08;1;PB;Filial Oeste;Backoffice;Especialista;CLT;Noturno;6x1;21;150
FUNC0108;2025-07;1;CE;Filial Leste;Comercial;Assistente;CLT;Diurno;12x36;21;177
FUNC0108;2025-08;1;CE;Filial Leste;Comercial;Assistente;CLT;Diurno;12x36;20;182
FUNC0109;2025-07;1;RN;Filial Leste;Engenharia;Coordenador;CLT;Noturno;5x2;22;175
FUNC0109;2025-08;1;RN;Filial Leste;Engenharia;Coordenador;CLT;Noturno;5x2;19;156
FUNC0110;2025-07;1;PE;Matriz;Operações;Especialista;CLT;Comercial;5x2;22;176
FUNC0110;2025-08;1;PE;Matriz;Operações;Especialista;CLT;Comercial;5x2;23;182
FUNC0111;2025-07;1;PE;Matriz;Comercial;Coordenador;CLT;Diurno;12x36;22;177
FUNC0111;2025-08;1;PE;Matriz;Comercial;Coordenador;CLT;Diurno;12x36;21;180
FUNC0112;2025-07;1;PI;Filial Oeste;Engenharia;Especialista;CLT;Diurno;6x1;21;147
FUNC0112;2025-08;1;PI;Filial Oeste;Engenharia;Especialista;CLT;Diurno;6x1;19;130
FUNC0113;2025-07;1;PE;Filial Norte;Engenharia;Coordenador;PJ;Diurno;12x36;21;179
FUNC0113;2025-08;1;PE;Filial Norte;Engenharia;Coordenador;PJ;Diurno;12x36;23;177
FUNC0114;2025-07;1;RN;Filial Leste;Atendimento;Coordenador;CLT;Noturno;6x1;20;144
FUNC0114;2025-08;1;RN;Filial Leste;Atendimento;Coordenador;CLT;Noturno;6x1;20;142
FUNC0115;2025-07;0;PE;Filial Oeste;Comercial;Assistente;CLT;Diurno;5x2;21;168
FUNC0115;2025-08;0;PE;Filial Oeste;Comercial;Assistente;CLT;Diurno;5x2;22;177
FUNC0116;2025-07;1;RN;Filial Oeste;Comercial;Analista;CLT;Comercial;5x2;20;161
FUNC0116;2025-08;1;RN;Filial Oeste;Comercial;Analista;CLT;Comercial;5x2;22;172
FUNC0117;2025-07;1;PB;Filial Leste;Engenharia;Analista;CLT;Comercial;6x1;21;151
FUNC0117;2025-08;1;PB;Filial Leste;Engenharia;Analista;CLT;Comercial;6x1;21;156
FUNC0118;2025-07;1;RN;Filial Leste;Backoffice;Especialista;CLT;Diurno;5x2;20;161
FUNC0118;2025-08;1;RN;Filial Leste;Backoffice;Especialista;CLT;Diurno;5x2;23;183
FUNC0119;2025-07;1;PE;Filial Leste;Comercial;Assistente;CLT;Diurno;6x1;19;135
FUNC0119;2025-08;1;PE;Filial Leste;Comercial;Assistente;CLT;Diurno;6x1;20;146
FUNC0120;2025-07;1;PE;Filial Norte;Comercial;Analista;CLT;Diurno;5x2;19;151
FUNC0120;2025-08;1;PE;Filial Norte;Comercial;Analista;CLT;Diurno;5x2;23;183
FUNC0121;2025-07;1;BA;Filial Sul;Comercial;Coordenador;CLT;Noturno;6x1;20;141
FUNC0121;2025-08;1;BA;Filial Sul;Comercial;Coordenador;CLT;Noturno;6x1;22;156
FUNC0122;2025-07;1;RN;Matriz;Atendimento;Especialista;CLT;Noturno;5x2;19;153
FUNC0122;2025-08;1;RN;Matriz;Atendimento;Especialista;CLT;Noturno;5x2;22;175
FUNC0123;2025-07;1;PE;Filial Leste;Engenharia;Analista;CLT;Noturno;12x36;23;180
FUNC0123;2025-08;1;PE;Filial Leste;Engenharia;Analista;CLT;Noturno;12x36;23;181
FUNC0124;2025-07;1;PI;Filial Norte;Operações;Técnico;CLT;Noturno;6x1;22;157
FUNC0124;2025-08;1;PI;Filial Norte;Operações;Técnico;CLT;Noturno;6x1;19;137
FUNC0125;2025-07;1;RN;Matriz;Engenharia;Analista;CLT;Comercial;5x2;22;176
FUNC0125;2025-08;1;RN;Matriz;Engenharia;Analista;CLT;Comercial;5x2;23;181
FUNC0126;2025-07;1;PI;Filial Leste;Operações;Coordenador;PJ;Noturno;5x2;22;175
FUNC0126;2025-08;1;PI;Filial Leste;Operações;Coordenador;PJ;Noturno;5x2;21;167
FUNC0127;2025-07;1;PE;Filial Sul;Atendimento;Assistente;CLT;Diurno;5x2;20;158
FUNC0127;2025-08;1;PE;Filial Sul;Atendimento;Assistente;CLT;Diurno;5x2;21;168
FUNC0128;2025-07;1;PI;Matriz;Atendimento;Especialista;CLT;Diurno;12x36;23;175
FUNC0128;2025-08;1;PI;Matriz;Atendimento;Especialista;CLT;Diurno;12x36;22;177
FUNC0129;2025-07;1;PE;Filial Sul;Comercial;Coordenador;CLT;Noturno;6x1;22;159
FUNC0129;2025-08;1;PE;Filial Sul;Comercial;Coordenador;CLT;Noturno;6x1;20;142
FUNC0130;2025-07;1;CE;Filial Sul;Engenharia;Coordenador;CLT;Comercial;5x2;19;151
FUNC0130;2025-08;1;CE;Filial Sul;Engenharia;Coordenador;CLT;Comercial;5x2;23;186
FUNC0131;2025-07;1;PI;Filial Norte;Operações;Técnico;CLT;Comercial;5x2;22;174
FUNC0131;2025-08;1;PI;Filial Norte;Operações;Técnico;CLT;Comercial;5x2;21;165
FUNC0132;2025-07;1;BA;Filial Sul;Engenharia;Coordenador;CLT;Comercial;6x1;21;151
FUNC0132;2025-08;1;BA;Filial Sul;Engenharia;Coordenador;CLT;Comercial;6x1;19;134
FUNC0133;2025-07;1;CE;Matriz;Atendimento;Técnico;CLT;Noturno;5x2;23;184
FUNC0133;2025-08;1;CE;Matriz;Atendimento;Técnico;CLT;Noturno;5x2;19;149
FUNC0134;2025-07;1;PE;Filial Sul;Backoffice;Coordenador;CLT;Noturno;5x2;21;167
FUNC0134;2025-08;1;PE;Filial Sul;Backoffice;Coordenador;CLT;Noturno;5x2;20;163
FUNC0135;2025-07;1;CE;Filial Sul;Engenharia;Analista;CLT;Noturno;6x1;20;141
FUNC0135;2025-08;1;CE;Filial Sul;Engenharia;Analista;CLT;Noturno;6x1;22;158
FUNC0136;2025-07;1;RN;Filial Leste;Atendimento;Especialista;CLT;Noturno;6x1;22;161
